날짜,총자산,수익금,수익률
2026-05-13,360199.56033325195,3199.560333251953,0.896235387465533
2026-05-20,373928.95808410645,8097.799072265625,2.2135345425848554
2026-05-20,439744.9569244385,6778.199035644531,1.5655241221510796
2026-05-20,494476.155960083,2516.5811920166016,0.5115422732046713
2026-05-22,382475.4777069092,3650.9994506835938,0.9637707329498825
2026-05-26,392410.3365020752,11167.19741821289,2.929153674751491
2026-05-28,393720.38830566406,1310.0518035888672,0.3338474249344701
2026-06-01,394290.6688232422,570.280517578125,0.1448440402165277
2026-06-02,402620.1506347656,8329.481811523438,2.112523189144374
2026-06-08,399188.1106414795,5230.901657104492,1.3277842206745754
2026-06-11,418241.64739990234,11355.083038330078,2.790724499873039
2026-06-11,476927.0288391113,5577.503204345703,1.1833051485168016
